District Name,Block/Tehsil Name,water_body_name,latitude_dec,longitude_dec
SHAHDARA,SHAHDARA,NA,28.693333,77.281667
EAST,NA,NA,28.679722,77.262778
EAST,NA,NA,28.623611,77.288889
SOUH WEST,NAJAFGARH,Near mandir ,28.530556,76.905556
SOUH WEST,DWARKA,dda water body,28.553056,77.028611
SOUH WEST,DWARKA,dda water body,28.553056,77.031389
EAST,NA,NA,28.630278,77.296111
SOUH WEST,NAJAFGARH,Near shamshan ghat ,28.542778,76.905
SOUH WEST,NAJAFGARH,On Phirni road near pump room,28.535556,76.909722
SOUH WEST,NAJAFGARH,near temple ,28.571389,76.904444
NEW DELHI,DELHI CANT.,Encroached,28.571389,77.072778
NEW DELHI,DELHI CANT.,Dda  land water body,28.5725,77.071111
SOUH WEST,NAJAFGARH,situated opposite of Mitraon Forest,28.614722,76.9475
SOUH WEST,NAJAFGARH,Near Barat Ghar in village Jharoda ,28.654722,76.95
SOUH WEST,NAJAFGARH,NA,28.6575,76.945556
SOUH WEST,NAJAFGARH,Near Chaupal and PNB,28.637222,76.982778
SOUTH,SAKET,LADOSARAI MOTHERDAIRY PARK,28.523889,77.193611
SOUTH,MEHRAULI,SANJAY VAN,28.530833,77.178333
SOUTH,MEHRAULI,SANJAY VAN,28.530833,77.170833
SOUH WEST,NAJAFGARH,Adjacent Shani Mandir,28.596667,76.890278
SOUH WEST,NAJAFGARH,Near mundella Kalan Cremation Ground,28.608333,76.893056
SOUH WEST,NAJAFGARH,NEAR BY SDMC SCHOOL MUNDELLA KALAN TO KAIR ROAD,28.613611,76.896389
NORTH,NARELA,Village Harevali pakka Talab,28.834722,77.008889
NORTH WEST,ROHINI,In Swarn Jayanti Park,28.719167,77.116389
NORTH,NARELA,Village Lampur Suraj kund ki Johadi,28.855,77.058611
NORTH,ALIPUR,Village Budhpur Near Baba Nanhe Nath Mandir,28.7825,77.136389
EAST,NA,NH IP Extension ,28.623889,77.285833
SOUH WEST,KAPAS HERA,NO WATER BODY,28.531944,76.976111
SOUH WEST,NAJAFGARH,Near gram shabha forest and dhansa Quazipur road ,28.566111,76.892222
SOUH WEST,KAPAS HERA,Near dariyapur Cricket ground ,28.549167,76.916389
SOUH WEST,NAJAFGARH,Near agriculture field ,28.561111,76.911389
SOUH WEST,NAJAFGARH,Agriculture field near open gym,28.557778,76.918611
NORTH WEST,SARASWATI VIHAR,Jheel Wala Park near Outer Ring Road,28.696667,77.108333
SOUH WEST,NAJAFGARH,Situated between forest land,28.605556,76.925833
SOUH WEST,NAJAFGARH,NA,28.597222,76.942778
SOUH WEST,NAJAFGARH,Near Delhi Jal Board UGR,28.647222,76.990833
SOUH WEST,NAJAFGARH,LEFT SIDE OF MUNDELLA BUND,28.583611,76.857222
SOUH WEST,NAJAFGARH,OPP OF  CREMATION GROUND AND LEFT SIDE MAIN DHANSA NAJAFGARH ROAD,28.558611,76.869444
SOUTH,MEHRAULI,SANJAY VAN,28.530833,77.174444
SOUTH,MEHRAULI,SANJAY VAN,28.530833,77.170833
NEW DELHI,VASANT VIHAR,INSIDE JNU CAMPUS,28.548611,77.175556
SOUH WEST,DWARKA,NO WATER BODY ,28.555556,77.0325
SOUH WEST,NAJAFGARH,near shamshan ghat,28.525,76.883056
SOUH WEST,NAJAFGARH,near mandir,28.519722,76.892222
SHAHDARA,VIVEK VIHAR,NA,28.660556,77.280556
NORTH,ALIPUR,Gharhi Khusro water body,28.7875,77.181667
SOUH WEST,NAJAFGARH,Sarangpur road near agriculture field ,28.552222,76.885833
SOUH WEST,KAPAS HERA,Encroached water body,28.545556,76.971111
NORTH,NARELA,VILLAGE TIKRI KHURD ,28.829722,77.125278
NORTH,ALIPUR,SAMAYAPUR NEAR SHIV VARTICA,28.746667,77.138611
